part_id,category,brand,model,supported_motherboard_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,max_radiator_mm,psu_form_factor,max_psu_length_mm,drive_bays_35,drive_bays_25,price_krw_estimate
CASE_ATX_001,Case,darkFlash,DK200 RGB Airflow,ATX|mATX|ITX,330,160,240,ATX,180,2,2,55000
CASE_ATX_002,Case,3RSYS,L600 Quiet,ATX|mATX|ITX,360,170,360,ATX,200,2,2,90000
CASE_ATX_003,Case,Fractal Design,North,ATX|mATX|ITX,355,170,360,ATX,180,2,2,210000
CASE_ATX_004,Case,Lian Li,LANCOOL 216,E-ATX|ATX|mATX|ITX,392,180,360,ATX,220,2,4,150000
CASE_ATX_005,Case,NZXT,H7 Flow 2024,E-ATX|ATX|mATX|ITX,410,185,360,ATX,220,2,4,190000
CASE_ATX_006,Case,Corsair,4000D Airflow,ATX|mATX|ITX,360,170,360,ATX,180,2,2,120000
CASE_ATX_007,Case,HYTE,Y70,E-ATX|ATX|mATX|ITX,390,180,360,ATX,235,2,2,320000
CASE_ATX_008,Case,Phanteks,NV5 MKII,ATX|mATX|ITX,440,180,360,ATX,230,1,2,160000
CASE_MATX_009,Case,Jonsbo,D31 Mesh Screen,mATX|ITX,330,168,360,ATX,160,1,2,130000
CASE_MATX_010,Case,ASUS,Prime AP201,mATX|ITX,338,170,360,ATX,180,1,3,110000
CASE_ITX_011,Case,Cooler Master,NR200P,ITX,330,155,280,SFX|SFX-L,130,1,2,130000
CASE_ITX_012,Case,Lian Li,A4-H2O,ITX,322,55,240,SFX|SFX-L,125,0,1,210000
CASE_ITX_013,Case,Fractal Design,Terra,ITX,322,77,0,SFX|SFX-L,130,0,2,250000
CASE_EATX_014,Case,Fractal Design,Torrent,E-ATX|ATX|mATX|ITX,423,188,420,ATX,230,2,4,300000
CASE_EATX_015,Case,Corsair,7000D Airflow,E-ATX|ATX|mATX|ITX,450,190,420,ATX,225,6,4,350000
CASE_ATX_016,Case,Montech,King 95 Pro,ATX|mATX|ITX,420,175,360,ATX,190,2,2,180000
CASE_ATX_017,Case,be quiet!,Shadow Base 800 FX,E-ATX|ATX|mATX|ITX,430,180,420,ATX,250,2,4,270000
CASE_MATX_018,Case,darkFlash,DLM21 Mesh,mATX|ITX,330,160,240,ATX,180,2,2,60000
CASE_ATX_019,Case,DeepCool,CH560 Digital,E-ATX|ATX|mATX|ITX,380,175,360,ATX,170,2,2,160000
CASE_ATX_020,Case,Antec,C8 ARGB,E-ATX|ATX|mATX|ITX,440,175,360,ATX,220,2,2,170000
